------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:110, Time:0ms, TrainError:0.16046885, TrainErrorChange:-3.3472478E-4, TrainAccuracy: 0.944206
Epoch:111, Time:1ms, TrainError:0.16013876, TrainErrorChange:-3.3009052E-4, TrainAccuracy: 0.94563663
Epoch:112, Time:1ms, TrainError:0.1598136, TrainErrorChange:-3.2515824E-4, TrainAccuracy: 0.94563663
Epoch:113, Time:1ms, TrainError:0.15949273, TrainErrorChange:-3.208667E-4, TrainAccuracy: 0.94563663
Epoch:114, Time:1ms, TrainError:0.15917662, TrainErrorChange:-3.1611323E-4, TrainAccuracy: 0.94563663
Epoch:115, Time:0ms, TrainError:0.15886484, TrainErrorChange:-3.11777E-4, TrainAccuracy: 0.94563663
Epoch:116, Time:0ms, TrainError:0.15855734, TrainErrorChange:-3.0750036E-4, TrainAccuracy: 0.94563663
Epoch:117, Time:1ms, TrainError:0.15825403, TrainErrorChange:-3.0331314E-4, TrainAccuracy: 0.94706726
Epoch:118, Time:1ms, TrainError:0.15795481, TrainErrorChange:-2.9921532E-4, TrainAccuracy: 0.94706726
Epoch:119, Time:1ms, TrainError:0.15765953, TrainErrorChange:-2.952814E-4, TrainAccuracy: 0.94706726
Epoch:120, Time:0ms, TrainError:0.15736839, TrainErrorChange:-2.911389E-4, TrainAccuracy: 0.94706726
Epoch:121, Time:0ms, TrainError:0.15708101, TrainErrorChange:-2.873838E-4, TrainAccuracy: 0.94706726
Epoch:122, Time:0ms, TrainError:0.15679735, TrainErrorChange:-2.836585E-4, TrainAccuracy: 0.94706726
Epoch:123, Time:1ms, TrainError:0.15651734, TrainErrorChange:-2.8000772E-4, TrainAccuracy: 0.94706726
Epoch:124, Time:1ms, TrainError:0.15624109, TrainErrorChange:-2.7625263E-4, TrainAccuracy: 0.94706726
Epoch:125, Time:1ms, TrainError:0.15596847, TrainErrorChange:-2.7261674E-4, TrainAccuracy: 0.94706726
Epoch:126, Time:0ms, TrainError:0.15569918, TrainErrorChange:-2.6929379E-4, TrainAccuracy: 0.94706726
Epoch:127, Time:0ms, TrainError:0.15543325, TrainErrorChange:-2.6592612E-4, TrainAccuracy: 0.94706726
Epoch:128, Time:0ms, TrainError:0.15517084, TrainErrorChange:-2.6240945E-4, TrainAccuracy: 0.94706726
Epoch:129, Time:1ms, TrainError:0.15491153, TrainErrorChange:-2.5931E-4, TrainAccuracy: 0.94706726
Epoch:130, Time:1ms, TrainError:0.15465535, TrainErrorChange:-2.5618076E-4, TrainAccuracy: 0.94706726
Epoch:131, Time:1ms, TrainError:0.15440246, TrainErrorChange:-2.528876E-4, TrainAccuracy: 0.94706726
Epoch:132, Time:0ms, TrainError:0.1541526, TrainErrorChange:-2.4986267E-4, TrainAccuracy: 0.94706726
